Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C14, C15, C17, C2, C3, C4, C5, C6, C7, C8, C9",0402,14,0.1uF,
"C10, C13, C16",0402,3,4.7uF,
C18,0402,1,470nF,
"C19, C21",0603,2,10uF,
C20,0402,1,620pF,
"C22, C23",0603,2,47uF,
C24,0603,1,2.2nF,
"C25, C26",0603,2,22uF,
C27,0402,1,220nF,
"C28, C29, C52, C62",0402,4,100nF,
C30,0402,1,10uF,
"CR1, CR2",M-FLAT_TOS,2,CMS04TE12L_Q_M,
"H10, H3, H4, H5, H6, H7, H8, H9",MountingHole_2.2mm_M2,8,MountingHole,
"J1, J2, J9",JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,3,Conn_01x02_Pin,
J18,Hirose_DF11-12DP-2DSA_2x06_P2.00mm_Vertical,1,Payload,
L1,IND_XGL4030_COC,1,XGL4030-472MEC,
L2,IND_PA4332.222NLT,1,PA4332.222NLT,
"R10, R11, R12, R13, R16, R17, R18, R19, R2, R20, R3, R6, R7, R8, R9",0402,15,10k,
R14,0402,1,15.4k,
R15,0402,1,4.87k,
R21,0402,1,100k,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
"U10, U2, U8",WSON8_DSG_TEX,3,DRV8212PDSGR,
U11,Texas_RPU0010A_VQFN-HR-10_2x2mm_P0.5mm,1,TPS62913,
U12,QFN50P300X300X100-17N,1,TPS62143RGTR,
U3,PQFN50P200X200X70-12N,1,LIS2MDLTR,
U4,QFN_BMI085_BOS,1,BMI088,
U5,SOP65P400X130-8N,1,LSF0102DCTR,
"U6, U7, U9",IC_LSF0204RUTR,3,LSF0204RUTR,
X1,HRS_DF40HC_3.0_-100DS-0.4V_58,1,DF40HC_3.0_-100DS-0.4V_58,
