Designator,Mid X,Mid Y,Rotation,Layer
C1,262.4,-86.1,90.0,top
C10,236.46,-64.22,90.0,top
C11,232.0,-64.6,0.0,top
C12,227.1,-70.2,180.0,top
C13,228.6,-67.5,180.0,top
C14,228.6,-66.5,180.0,top
C15,250.6,-64.7,90.0,top
C16,252.1,-65.3,0.0,top
C17,252.1,-64.3,0.0,top
C18,252.1,-81.2,180.0,top
C19,255.1,-70.625,90.0,top
C2,269.4,-86.5,90.0,top
C20,253.8,-75.88,270.0,top
C21,248.025,-69.6,0.0,top
C22,250.6,-86.49,180.0,top
C23,250.6,-88.0,180.0,top
C24,252.9,-80.0,180.0,top
C25,252.9,-78.5,180.0,top
C26,257.0,-79.9,0.0,top
C27,239.9,-69.3,0.0,top
C28,239.7,-65.3,180.0,top
C29,241.7,-67.5,270.0,top
C3,262.2,-99.0,90.0,top
C30,242.9,-67.5,270.0,top
C4,265.8,-98.7,90.0,top
C5,233.0,-74.7,270.0,top
C52,232.38,-69.5,180.0,top
C6,233.0,-72.4,90.0,top
C62,234.0,-64.6,0.0,top
C7,227.5,-80.1,180.0,top
C8,227.2,-77.4,90.0,top
C9,235.46,-64.22,90.0,top
CR1,254.6,-91.8,270.0,top
CR2,242.5,-74.1,270.0,top
H1,200.43,-127.955,0.0,top
H2,280.43,-127.955,0.0,top
J1,226.3,-63.5,0.0,top
J18,269.4,-76.8,90.0,top
J2,269.6,-65.0,270.0,top
J9,242.625,-63.2,270.0,top
L1,254.5,-86.0462,90.0,top
L2,246.4,-72.7,180.0,top
R10,232.99,-70.6,0.0,top
R11,236.0,-70.3,180.0,top
R12,224.7,-72.7,0.0,top
R13,228.4,-74.1,270.0,top
R14,251.11,-84.3,180.0,top
R15,251.1,-82.2,0.0,top
R16,249.5,-63.9,90.0,top
R17,231.2,-76.0,270.0,top
R18,237.4,-70.3,270.0,top
R19,238.4,-70.3,270.0,top
R2,270.7,-86.5,270.0,top
R20,256.81,-82.5,180.0,top
R21,249.91,-75.7,180.0,top
R3,270.7,-90.5,90.0,top
R6,266.8,-99.2,270.0,top
R7,275.3,-98.7,180.0,top
R8,275.3,-100.3,180.0,top
R9,265.9,-103.0,90.0,top
U1,271.0,-100.4,180.0,top
U10,232.8967,-62.649999,180.0,top
U11,254.5,-82.175,90.0,top
U12,252.165,-72.75,0.0,top
U2,226.1967,-67.950001,270.0,top
U3,239.6875,-67.3,0.0,top
U4,232.8113,-67.1,0.0,top
U5,266.17,-88.025,0.0,top
U6,264.0,-100.8,0.0,top
U7,234.8,-73.3,90.0,top
U8,251.7033,-62.349999,180.0,top
U9,229.0,-78.4,90.0,top
X1,240.981409,-108.159298,135.0,top
